Date	Open	High	Low	Close	Volume	Stock Splits
06-12-2013	5.15771389	5.161857128	5.028571129	5.063428879	120757000	0
09-12-2013	5.073856831	5.140999794	5.051570892	5.080999851	117187000	0
10-12-2013	5.071428776	5.206285954	5.047429085	5.187142849	140896000	0
11-12-2013	5.205286026	5.302286148	5.174571037	5.199714184	200669000	0
12-12-2013	5.195285797	5.354856968	5.193571091	5.333285809	213185000	0
13-12-2013	5.373570919	5.385714054	5.268713951	5.270999908	178549000	0
16-12-2013	5.285429001	5.300000191	5.203570843	5.232999802	139111000	0
17-12-2013	5.239285946	5.395713806	5.232429028	5.355286121	184485000	0
18-12-2013	5.340857029	5.385714054	5.23585701	5.374856949	198814000	0
19-12-2013	5.345714092	5.426570892	5.333570957	5.381999969	138495000	0
20-12-2013	5.378571033	5.424142838	5.347713947	5.366714001	188174000	0
23-12-2013	5.409856796	5.477571011	5.380428791	5.436857224	126245000	0
24-12-2013	5.439428806	5.485143185	5.392570972	5.405570984	55776000	0
26-12-2013	5.401570797	5.441571236	5.368999958	5.384714127	122689000	0
27-12-2013	5.387286186	5.410714149	5.225856781	5.25	169484000	0
30-12-2013	5.25171423	5.279142857	5.129143238	5.242713928	150752000	0
31-12-2013	5.221428871	5.273571014	5.194714069	5.259571075	105168000	0
02-01-2014	5.240142822	5.251142979	5.154285908	5.183143139	123256000	0
03-01-2014	5.199999809	5.249570847	5.184286118	5.187142849	108171000	0
06-01-2014	5.18900013	5.20442915	5.047571182	5.136713982	155015000	0
07-01-2014	4.968429089	4.969857216	4.81528616	4.849999905	361676000	0
08-01-2014	4.810429096	4.942571163	4.807428837	4.871285915	200011000	0
09-01-2014	4.882429123	4.914000034	4.785714149	4.815000057	170072000	0
10-01-2014	4.82957077	4.837714195	4.721857071	4.744856834	162379000	0
13-01-2014	4.730429173	4.980999947	4.730429173	4.811571121	272370000	0
14-01-2014	4.877714157	4.880000114	4.750999928	4.828000069	197400000	0
15-01-2014	4.785714149	4.836713791	4.558143139	4.719714165	404320000	0
16-01-2014	4.691571236	4.769570827	4.600286007	4.738286018	211358000	0
17-01-2014	4.743856907	4.783143044	4.689143181	4.714857101	164171000	0
21-01-2014	4.746142864	4.749570847	4.574999809	4.695857048	252203000	0
22-01-2014	4.70714283	4.777713776	4.676428795	4.767570972	483420000	0
23-01-2014	5.534286022	5.651856899	5.392714024	5.553143024	912800000	0
24-01-2014	5.481142998	5.581429005	5.476857185	5.51542902	354669000	0
27-01-2014	5.534142971	5.592856884	5.293714046	5.44614315	325269000	0
28-01-2014	5.44742918	5.820143223	5.439428806	5.81099987	435904000	0
29-01-2014	5.758856773	5.819142818	5.686429024	5.720285892	289681000	0
30-01-2014	5.815713882	5.845571041	5.73585701	5.781000137	183792000	0
31-01-2014	5.747285843	5.891428947	5.747142792	5.847570896	236250000	0
03-02-2014	5.884285927	5.88785696	5.724571228	5.776856899	201453000	0
04-02-2014	5.792142868	5.836143017	5.671570778	5.798714161	180663000	0
05-02-2014	5.759285927	5.824999809	5.685713768	5.777429104	167629000	0
06-02-2014	5.806000233	5.870142937	5.720285892	5.827285767	128520000	0
07-02-2014	5.906285763	6.150000095	5.865142822	6.142570972	329210000	0
10-02-2014	6.134714127	6.176713943	6.061142921	6.149143219	138124000	0
11-02-2014	6.142285824	6.225142956	6.078713894	6.199857235	136675000	0
12-02-2014	6.211143017	6.21285677	6.079143047	6.127571106	156730000	0
13-02-2014	6.081285954	6.278429031	6.071428776	6.236429214	187005000	0
14-02-2014	6.243713856	6.252857208	6.166999817	6.221570969	119854000	0
18-02-2014	6.242286205	6.303429127	6.114285946	6.240714073	155078000	0
19-02-2014	6.166714191	6.232142925	6.113856792	6.117570877	160314000	0
20-02-2014	6.147857189	6.253857136	6.130856991	6.213571072	119651000	0
21-02-2014	6.267142773	6.267142773	6.13785696	6.174714088	134834000	0
24-02-2014	6.221000195	6.424142838	6.121428967	6.385714054	260435000	0
25-02-2014	6.428571224	6.539856911	6.357142925	6.471857071	187005000	0
26-02-2014	6.51285696	6.514286041	6.371428967	6.411285877	150101000	0
27-02-2014	6.397714138	6.487570763	6.397714138	6.460429192	103047000	0
28-02-2014	6.473286152	6.488571167	6.300000191	6.366143227	157514000	0
03-03-2014	6.302713871	6.367856979	6.258571148	6.365571022	135282000	0
04-03-2014	6.44171381	6.5	6.365571022	6.499713898	123879000	0
05-03-2014	6.485570908	6.526286125	6.4558568	6.478570938	108689000	0
06-03-2014	6.499143124	6.54285717	6.414143085	6.435856819	118090000	0
07-03-2014	6.486713886	6.493429184	6.364428997	6.405285835	115738000	0
10-03-2014	6.406713963	6.411142826	6.172856808	6.284999847	154392000	0
11-03-2014	6.323429108	6.381143093	6.223570824	6.249713898	104482000	0
12-03-2014	6.195428848	6.278571129	6.138286114	6.236856937	121345000	0
13-03-2014	6.281570911	6.28971386	6.118286133	6.143713951	113904000	0
14-03-2014	6.11042881	6.214142799	6.04285717	6.064143181	149891000	0
17-03-2014	6.117000103	6.154285908	6.032999992	6.038856983	106953000	0
18-03-2014	6.033856869	6.089428902	5.949999809	6.003571033	146881000	0
19-03-2014	5.998143196	6.077857018	5.958000183	6.00128603	105315000	0
20-03-2014	5.995285988	6.174285889	5.992856979	6.06099987	144949000	0
21-03-2014	6.087142944	6.119143009	5.796286106	5.79985714	267708000	0
24-03-2014	5.792714119	5.806428909	5.265714169	5.412857056	424837000	0
25-03-2014	5.414286137	5.499000072	5.224999905	5.297714233	303569000	0
26-03-2014	5.328713894	5.392142773	5.236713886	5.318285942	271523000	0
27-03-2014	5.300142765	5.397571087	5.16471386	5.202570915	286720000	0
28-03-2014	5.145999908	5.271429062	5.08214283	5.12671423	246995000	0
31-03-2014	5.164429188	5.240857124	4.99828577	5.028999805	221256000	0
