,Strategy,Kelly,BuyAndHold
407,49.27429698036939,1.8311045628826998,0.40281074620240603
408,47.64809641883468,1.827977816365376,0.3899195862212831
409,47.60044832241585,1.8261498385490105,0.40924052540184636
410,53.82963368616317,1.8845245471124614,0.46320462057522355
411,57.18200091043757,1.9138653483238968,0.4920517793205745
412,58.868248926392965,1.921031231885551,0.5065619630045314
413,59.03652266094168,1.9215175956405945,0.5080099604369279
414,58.97748613828074,1.919596078044954,0.498083336713243
415,58.97748613828074,1.919596078044954,0.4820298009511405
416,58.97748613828074,1.919596078044954,0.4727972798080638
417,60.401673540521905,1.9191533243345913,0.4846871783210063
418,62.625808269479485,1.9302819819902135,0.5025345246409886
419,63.302252853619564,1.932372938265279,0.5079625864405912
420,62.368824769423945,1.9322224766600862,0.5004723862892521
421,62.30645594465452,1.9302902541834261,0.4964373946443926
422,63.166301355529136,1.9295951675101892,0.5037847981082787
423,63.0879884168329,1.9293950878535056,0.5031602108336766
424,63.02490042841607,1.927465692765652,0.476454318135294
425,63.02490042841607,1.927465692765652,0.4712888756443724
426,65.24801292206881,1.9402239136632469,0.4883842001066271
427,65.76661946206417,1.9408500561732283,0.4922659924994194
428,64.07659626226557,1.938678088548819,0.4796160957189442
429,64.0125196660033,1.9367394104602702,0.4617542787362962
430,64.0125196660033,1.9367394104602702,0.44436164594843025
431,64.0125196660033,1.9367394104602702,0.4276578263545876
432,64.0125196660033,1.9367394104602702,0.41010803758315184
433,64.0125196660033,1.9367394104602702,0.38839515281285314
434,64.0125196660033,1.9367394104602702,0.387651120463863
435,64.95365628890923,1.9383379275951473,0.3937381670819988
436,63.03337464532488,1.9382044347812362,0.3820977419262065
437,62.97034127067956,1.9362662303464548,0.36993958369613694
438,62.97034127067956,1.9362662303464548,0.3719457646227086
439,62.937655528794075,1.9343969497787499,0.37212464611274526
440,62.87471787326528,1.9324625528289712,0.36420233297689025
441,62.87471787326528,1.9324625528289712,0.3639222245729329
442,60.63292500338428,1.9255478062197149,0.3513105299544482
443,60.5722920783809,1.9236222584134952,0.3298683879482826
444,60.5722920783809,1.9236222584134952,0.32513825769390176
445,60.96276449620818,1.9222267247813236,0.32755936289049903
446,63.097946089664994,1.9254158543004563,0.3390319187725693
447,66.33264337696005,1.94245181547944,0.3564122884347078
448,66.26932324682333,1.9422237147245083,0.35607206269761843
449,66.2030539235765,1.9402814910097839,0.3504104638248823
450,66.63637327877831,1.9390189102994577,0.3530544185777039
451,64.18388682086331,1.9369475686069848,0.34006059646727066
452,64.11970293404245,1.9350106210383777,0.3562745915987164
453,71.58021555524414,1.9898453816434665,0.39808444388342873
454,73.20901930147497,1.9966437977254716,0.40714283283188224
455,72.12333594426494,1.9964082631388227,0.4011049402083976
456,72.05121260832067,1.994411854875684,0.40645447855225614
457,75.2997647658201,2.0071912944340733,0.42518662839979593
458,78.35003970915304,2.0175308133814904,0.44241026944145845
459,80.63041793589439,2.0255648285331405,0.45528662214614274
460,80.92681640421739,2.026033765640749,0.45696026170930815
461,80.84588958781318,2.024007731875108,0.44917983341374684
462,80.84588958781318,2.024007731875108,0.4395679601845522
463,80.84588958781318,2.024007731875108,0.43525378273530235
464,80.49820314840908,2.021905535433182,0.4338171808339954
465,78.60798864622956,2.0216984136583838,0.4236305245555284
466,78.52938065758333,2.0196767152447253,0.4336260098128995
467,80.25377536889725,2.029249272472424,0.44358145290248724
468,80.17352159352835,2.0272200231999515,0.4263220208199797
469,80.17352159352835,2.0272200231999515,0.4201153416861506
470,77.78009641130835,2.0246812932328186,0.40799372731155403
471,77.70231631489705,2.0226566119395857,0.3977847252775549
472,78.79332317327425,2.022173588349172,0.4037677471491322
473,79.68212586078123,2.0235778630420884,0.40832231908926475
474,78.3629193321538,2.022405439367248,0.40156218984688
475,78.28455641282164,2.0203830339278808,0.39195703097123297
476,78.28455641282164,2.0203830339278808,0.39596710804254703
477,80.34650874774749,2.023625355325231,0.4067925307213238
478,79.91993293310401,2.0226979783049197,0.40463278715700624
479,79.8400130001709,2.0206752803266146,0.3894496955292244
480,79.8400130001709,2.0206752803266146,0.3836581938340825
481,80.57227567617154,2.0196148543392756,0.3875606211905158
482,81.44537499019343,2.020520244089586,0.3917603153118947
483,84.09352852272367,2.0238217681091615,0.404498195922344
484,86.53744052585581,2.033288159827768,0.4162536545601961
485,87.63741905480315,2.0341476921287813,0.4215446601622773
486,89.68230367112048,2.0375695358253094,0.43138075757310484
487,89.59262136744935,2.035531966289484,0.42028216257102285
488,89.59262136744935,2.035531966289484,0.41268992415148625
489,89.59262136744935,2.035531966289484,0.41769048499547207
490,99.5803574577958,2.0617289254597613,0.46467208072076305
491,107.02047428359057,2.1002392915102197,0.49938991719481723
492,106.91345380930699,2.0981390522187096,0.4882531697303492
493,106.91345380930699,2.0981390522187096,0.4757314551060492
494,106.91345380930699,2.0981390522187096,0.4781428350763755
495,107.7105325697532,2.0990335911195324,0.48218570699576985
496,107.60282203718344,2.096934557528413,0.5007277510616088
